SPECIES_ITIS,COMMON_NAME,CAMS_GEAR_GROUP,DISC_MORT_RATIO,SPECIES_STOCK,GEARCODE
167687,BLACK SEA BASS,50,1,NORTH,50
167687,BLACK SEA BASS,50,1,S_700s,50
167687,BLACK SEA BASS,50,1,SOUTH,50
167687,BLACK SEA BASS,100,1,NORTH,100
167687,BLACK SEA BASS,100,1,S_700s,100
167687,BLACK SEA BASS,100,1,SOUTH,100
167687,BLACK SEA BASS,180,1,NORTH,180
167687,BLACK SEA BASS,180,1,S_700s,180
167687,BLACK SEA BASS,180,1,SOUTH,180
167687,BLACK SEA BASS,200,1,NORTH,200
167687,BLACK SEA BASS,200,1,S_700s,200
167687,BLACK SEA BASS,200,1,SOUTH,200
