SPECIES_ITIS,SPECIES_STOCK,COMMON_NAME,CAMS_GEAR_GROUP,DISC_MORT_RATIO,GEARCODE
161706,NE,ALEWIFE,10,1,10
161706,MA,ALEWIFE,20,1,20
161706,NE,ALEWIFE,20,1,20
161706,MA,ALEWIFE,50,1,50
161706,NE,ALEWIFE,50,1,50
161706,MA,ALEWIFE,52,1,52
161706,NE,ALEWIFE,52,1,52
161706,MA,ALEWIFE,53,1,53
161706,NE,ALEWIFE,53,1,53
161706,MA,ALEWIFE,54,1,54
161706,NE,ALEWIFE,54,1,54
161706,MA,ALEWIFE,57,1,57
161706,NE,ALEWIFE,57,1,57
161706,MA,ALEWIFE,58,1,58
161706,NE,ALEWIFE,58,1,58
161706,MA,ALEWIFE,59,1,59
161706,NE,ALEWIFE,59,1,59
161706,MA,ALEWIFE,80,1,80
161706,NE,ALEWIFE,80,1,80
161706,MA,ALEWIFE,100,1,100
161706,NE,ALEWIFE,100,1,100
161706,MA,ALEWIFE,121,1,121
161706,NE,ALEWIFE,121,1,121
161706,MA,ALEWIFE,132,1,132
161706,NE,ALEWIFE,132,1,132
161706,MA,ALEWIFE,160,1,160
161706,NE,ALEWIFE,160,1,160
161706,MA,ALEWIFE,170,1,170
161706,NE,ALEWIFE,170,1,170
161706,MA,ALEWIFE,180,1,180
161706,NE,ALEWIFE,180,1,180
161706,MA,ALEWIFE,181,1,181
161706,NE,ALEWIFE,181,1,181
