GEARCODE,CAMS_GEAR_GROUP
SES,0
STS,0
TGS,0
TRP,0
TRP,80
TTS,0
WEI,0
CST,0
DIP,0
DIV,0
DRC,400
DRM,0
DRO,0
DRO,381
DRS,132
DRU,387
DSC,132
DTC,132
DTS,132
FYK,0
GND,100
GNO,100
GNR,100
GNS,100
GNT,100
HND,20
HRP,0
LLB,10
LLP,0
MIX,0
OBP,0
OHS,57
OTB,0
OTB,350
OTC,52
OTF,50
OTH,0
OTM,170
OTO,0
OTO,59
OTR,54
OTS,58
OTT,53
PTB,0
PTC,0
PTC,300
PTE,0
PTF,180
PTH,0
PTL,0
PTL,200
PTM,170
PTO,0
PTO,180
PTS,0
PTW,183
PTX,180
PUR,121
RAK,0
SED,160
SEH,0
